TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
40.199	0.100	-4.899	0.219
40.399	0.289	-4.948	0.189
40.499	0.706	-4.960	0.203
40.699	2.042	-4.910	0.197
40.799	3.105	-4.954	0.196
40.999	5.079	-4.920	0.215
41.199	7.202	-4.904	0.215
41.399	9.210	-4.965	0.194
41.599	11.167	-4.902	0.209
41.799	13.254	-4.933	0.216
41.999	15.239	-4.934	0.200
42.199	17.411	-4.930	0.177
42.399	19.271	-4.930	0.225
42.499	20.350	-4.929	0.185
42.699	22.418	-4.937	0.204
42.899	24.354	-4.924	0.207
42.999	25.491	-4.944	0.183
43.199	27.480	-4.944	0.195
43.399	29.437	-4.910	0.204
43.599	31.657	-4.929	0.188
43.799	33.620	-4.922	0.169
43.999	35.548	-4.705	0.137
44.199	37.659	-4.571	0.072
44.399	39.653	-4.509	0.030
44.599	41.776	-4.487	-0.018
44.799	43.739	-4.413	0.022
44.999	45.762	-4.428	-0.006
45.199	47.813	-4.374	-0.025
45.399	49.839	-4.375	-0.035
45.599	51.825	-4.352	-0.034
45.799	53.851	-4.359	-0.087
45.999	55.874	-4.329	-0.043
46.099	56.981	-4.328	-0.098
46.299	59.069	-4.333	-0.085
46.499	61.054	-4.306	-0.090
46.699	63.056	-4.313	-0.089
46.899	65.172	-4.297	-0.105
47.099	67.127	-4.278	-0.078
47.299	69.192	-4.279	-0.091
47.499	71.185	-4.256	-0.103
47.699	73.332	-4.262	-0.118
47.899	75.220	-4.249	-0.128
48.099	77.368	-4.230	-0.157
48.299	79.403	-4.224	-0.149
48.499	81.341	-4.222	-0.199
48.699	83.469	-4.208	-0.123
48.899	85.380	-4.197	-0.119
49.099	87.460	-4.230	-0.142
49.299	89.475	-4.167	-0.140
49.499	91.519	-4.208	-0.130
49.699	93.552	-4.183	-0.128
49.899	95.571	-4.180	-0.129
50.099	97.615	-4.175	-0.112
50.299	99.659	-4.196	-0.148
50.499	101.763	-4.168	-0.105
50.699	103.722	-4.160	-0.111
50.899	105.841	-4.156	-0.110
51.099	107.787	-4.166	-0.130
51.299	109.808	-4.137	-0.105
51.499	111.957	-4.119	-0.099
51.699	114.052	-4.140	-0.136
51.899	116.049	-4.132	-0.116
52.099	118.045	-4.116	-0.123
52.299	120.121	-4.101	-0.111
52.499	122.147	-4.084	-0.129
52.699	124.086	-4.124	-0.145
52.899	126.138	-4.066	-0.124
53.099	128.158	-4.086	-0.137
53.299	130.148	-4.071	-0.138
53.499	132.247	-4.073	-0.177
53.699	134.239	-4.050	-0.118
53.899	136.427	-4.063	-0.171
54.099	138.323	-4.052	-0.143
54.299	140.336	-4.041	-0.144
54.499	142.529	-4.062	-0.174
54.700	144.371	-4.034	-0.137
54.899	146.509	-4.018	-0.167
55.099	148.555	-4.036	-0.166
55.299	150.547	-4.001	-0.161
55.499	152.525	-4.016	-0.160
55.699	154.597	-3.991	-0.170
55.899	156.599	-4.005	-0.177
55.999	157.733	-3.974	-0.124
56.199	159.762	-3.984	-0.194
56.399	161.756	-3.991	-0.172
56.599	163.793	-3.962	-0.181
56.799	165.730	-3.968	-0.170
56.999	167.870	-3.974	-0.187
57.199	169.998	-3.959	-0.200
57.399	171.851	-3.935	-0.160
57.599	174.006	-3.935	-0.178
57.799	176.101	-3.954	-0.191
57.999	178.085	-3.905	-0.179
58.199	180.050	-3.945	-0.196
58.399	182.159	-3.915	-0.176
58.599	184.158	-3.903	-0.193
58.799	186.083	-3.912	-0.178
58.999	188.188	-3.892	-0.197
59.199	190.148	-3.911	-0.189
59.299	191.296	-3.870	-0.186
59.499	193.268	-3.892	-0.202
59.699	195.225	-3.880	-0.171
59.899	197.313	-3.870	-0.217
60.099	199.301	-3.873	-0.176
60.199	200.443	-3.851	-0.181
60.399	202.488	-3.862	-0.206
60.599	204.488	-3.853	-0.193
60.799	206.537	-3.850	-0.194
60.999	208.469	-3.842	-0.200
61.199	210.626	-3.821	-0.175
61.399	212.531	-3.844	-0.201
61.599	214.606	-3.844	-0.209
61.799	216.610	-3.799	-0.188
61.999	218.653	-3.831	-0.188
62.199	220.676	-3.793	-0.212
62.399	222.823	-3.831	-0.197
62.599	224.919	-3.787	-0.188
62.799	226.851	-3.793	-0.208
62.999	228.972	-3.788	-0.200
63.199	230.908	-3.777	-0.208
63.399	232.892	-3.781	-0.185
63.599	235.104	-3.767	-0.216
63.799	237.091	-3.747	-0.189
63.999	239.069	-3.759	-0.210
64.199	241.165	-3.741	-0.210
64.399	243.167	-3.736	-0.187
64.599	245.161	-3.729	-0.222
64.799	247.280	-3.738	-0.206
64.999	249.362	-3.707	-0.210
65.199	251.349	-3.726	-0.221
65.399	253.292	-3.692	-0.203
65.599	255.302	-3.707	-0.222
65.799	257.283	-3.702	-0.203
65.999	259.400	-3.704	-0.245
66.199	261.412	-3.677	-0.183
66.399	263.398	-3.676	-0.218
66.599	265.510	-3.684	-0.229
66.799	267.519	-3.667	-0.198
66.999	269.581	-3.661	-0.208
67.199	271.674	-3.652	-0.203
67.399	273.632	-3.659	-0.207
67.599	275.739	-3.674	-0.230
67.799	277.724	-3.610	-0.190
67.999	279.698	-3.653	-0.228
68.199	281.727	-3.618	-0.212
68.399	283.737	-3.646	-0.230
68.499	284.908	-3.625	-0.188
68.699	286.919	-3.606	-0.217
68.899	288.870	-3.635	-0.219
69.099	290.899	-3.611	-0.224
69.299	292.968	-3.593	-0.199
69.499	294.993	-3.627	-0.224
69.699	297.062	-3.593	-0.231
69.899	299.107	-3.602	-0.207
70.099	301.111	-3.592	-0.219
70.299	303.153	-3.567	-0.226
70.499	305.197	-3.608	-0.218
70.699	307.205	-3.568	-0.245
70.899	309.265	-3.583	-0.221
71.099	311.242	-3.562	-0.232
71.299	313.420	-3.575	-0.239
71.499	315.294	-3.541	-0.205
71.699	317.436	-3.558	-0.248
71.899	319.446	-3.527	-0.200
72.099	321.486	-3.546	-0.248
72.299	323.501	-3.538	-0.227
72.499	325.534	-3.508	-0.220
72.699	327.480	-3.517	-0.235
72.899	329.558	-3.531	-0.220
73.099	331.543	-3.485	-0.213
73.299	333.620	-3.521	-0.230
73.499	335.657	-3.478	-0.231
73.699	337.697	-3.503	-0.234
73.899	339.730	-3.474	-0.206
74.099	341.718	-3.498	-0.255
74.299	343.955	-3.459	-0.192
74.499	345.786	-3.479	-0.254
74.599	346.895	-3.485	-0.237
74.799	348.968	-3.445	-0.207
74.999	350.972	-3.470	-0.237
75.199	352.986	-3.461	-0.240
75.399	354.991	-3.436	-0.213
75.599	357.093	-3.464	-0.236
75.799	359.155	-3.428	-0.227
75.999	361.114	-3.452	-0.238
76.199	363.228	-3.447	-0.231
76.399	365.204	-3.410	-0.228
76.599	367.196	-3.451	-0.228
76.799	369.227	-3.408	-0.228
76.999	371.326	-3.428	-0.232
77.199	373.311	-3.402	-0.222
77.399	375.436	-3.409	-0.236
77.599	377.442	-3.416	-0.243
77.799	379.406	-3.371	-0.230
77.999	381.512	-3.408	-0.239
78.199	383.479	-3.365	-0.229
78.399	385.655	-3.348	-0.226
78.599	387.555	-3.393	-0.245
78.799	389.507	-3.343	-0.242
78.899	390.391	-3.367	-0.257
79.099	391.290	-3.351	-0.221
79.199	391.490	-3.328	-0.240
79.399	391.506	-3.341	-0.226
160.299	0.100	-4.945	0.318
160.499	0.285	-4.921	0.287
160.699	1.193	-4.930	0.290
160.799	2.064	-4.929	0.300
160.999	4.031	-4.943	0.280
161.199	5.993	-4.920	0.273
161.399	7.985	-4.939	0.279
161.499	9.085	-4.920	0.310
161.699	11.088	-4.917	0.296
161.899	13.090	-4.957	0.287
162.099	15.200	-4.902	0.318
162.299	17.265	-4.957	0.302
162.499	19.227	-4.932	0.308
162.699	21.380	-4.928	0.300
162.899	23.292	-4.944	0.287
163.099	25.354	-4.909	0.294
163.299	27.335	-4.917	0.267
163.499	29.398	-4.952	0.244
163.699	31.406	-4.882	0.289
163.899	33.440	-4.953	0.228
164.099	35.460	-4.700	0.129
164.199	36.561	-4.559	0.068
164.399	38.648	-4.531	0.005
164.599	40.639	-4.506	-0.011
164.799	42.591	-4.445	-0.007
164.999	44.599	-4.447	-0.034
165.199	46.735	-4.384	-0.009
165.399	48.795	-4.395	-0.080
165.599	50.756	-4.343	-0.042
165.799	52.905	-4.335	-0.080
165.999	54.789	-4.326	-0.083
166.199	56.898	-4.301	-0.084
166.399	58.908	-4.309	-0.125
166.599	60.974	-4.301	-0.123
166.799	62.966	-4.248	-0.104
166.999	65.001	-4.281	-0.194
167.199	67.113	-4.258	-0.160
167.399	69.097	-4.254	-0.162
167.599	71.257	-4.264	-0.189
167.799	73.099	-4.226	-0.152
167.999	75.246	-4.235	-0.182
168.199	77.148	-4.224	-0.168
168.399	79.191	-4.208	-0.157
168.599	81.326	-4.235	-0.195
168.799	83.438	-4.178	-0.089
168.999	85.355	-4.213	-0.136
169.199	87.480	-4.210	-0.103
169.399	89.424	-4.201	-0.111
169.599	91.414	-4.179	-0.082
169.799	93.449	-4.187	-0.090
169.999	95.475	-4.193	-0.108
170.199	97.622	-4.191	-0.081
170.399	99.714	-4.158	-0.075
170.599	101.724	-4.178	-0.103
170.799	103.715	-4.155	-0.073
170.999	105.822	-4.152	-0.114
171.199	107.677	-4.141	-0.091
171.399	109.893	-4.135	-0.115
171.599	111.837	-4.128	-0.120
171.799	113.866	-4.142	-0.126
171.999	115.851	-4.104	-0.112
172.199	117.970	-4.134	-0.149
172.399	119.977	-4.086	-0.111
172.599	121.951	-4.078	-0.143
172.799	124.050	-4.118	-0.156
172.999	126.057	-4.080	-0.137
173.199	128.139	-4.057	-0.123
173.399	130.205	-4.093	-0.165
173.599	132.133	-4.055	-0.157
173.799	134.172	-4.073	-0.167
173.999	136.155	-4.041	-0.131
174.099	137.305	-4.033	-0.181
174.299	139.331	-4.052	-0.169
174.499	141.316	-4.018	-0.144
174.699	143.318	-4.013	-0.169
174.899	145.371	-4.023	-0.167
175.099	147.387	-4.032	-0.180
175.299	149.440	-3.986	-0.169
175.499	151.442	-4.016	-0.182
175.699	153.640	-3.961	-0.159
175.899	155.557	-4.016	-0.201
176.099	157.546	-3.985	-0.165
176.199	158.688	-3.944	-0.148
176.399	160.592	-3.993	-0.195
176.599	162.590	-3.980	-0.193
176.699	163.738	-3.936	-0.159
176.899	165.777	-3.961	-0.189
177.099	167.762	-3.982	-0.197
177.299	169.740	-3.923	-0.169
177.399	170.823	-3.972	-0.211
177.599	172.779	-3.944	-0.180
177.799	174.858	-3.917	-0.172
177.999	176.873	-3.938	-0.207
178.199	179.041	-3.929	-0.191
178.399	180.930	-3.907	-0.179
178.599	183.056	-3.924	-0.204
178.799	185.094	-3.889	-0.162
178.999	187.020	-3.904	-0.210
179.199	189.100	-3.908	-0.195
179.399	191.087	-3.869	-0.180
179.599	193.162	-3.891	-0.197
179.799	195.195	-3.881	-0.202
179.999	197.242	-3.847	-0.172
180.199	199.276	-3.895	-0.228
180.399	201.280	-3.859	-0.171
180.599	203.328	-3.833	-0.195
180.799	205.372	-3.872	-0.218
180.999	207.382	-3.841	-0.196
181.199	209.488	-3.833	-0.193
181.399	211.476	-3.830	-0.195
181.599	213.639	-3.819	-0.185
181.799	215.518	-3.841	-0.221
182.001	217.651	-3.812	-0.182
182.199	219.672	-3.805	-0.205
182.399	221.687	-3.810	-0.195
182.599	223.702	-3.789	-0.194
182.799	225.679	-3.799	-0.212
182.999	227.747	-3.795	-0.196
183.199	229.861	-3.771	-0.200
183.399	231.898	-3.769	-0.209
183.599	233.932	-3.765	-0.185
183.799	235.934	-3.757	-0.220
183.999	238.035	-3.768	-0.217
184.199	240.046	-3.727	-0.182
184.399	242.019	-3.746	-0.217
184.599	244.127	-3.762	-0.218
184.799	246.116	-3.730	-0.196
184.999	248.095	-3.727	-0.224
185.199	250.071	-3.716	-0.196
185.299	251.171	-3.676	-0.205
185.499	253.210	-3.715	-0.223
185.699	255.255	-3.708	-0.190
185.899	257.260	-3.690	-0.215
186.099	259.283	-3.712	-0.221
186.299	261.318	-3.699	-0.203
186.499	263.319	-3.652	-0.201
186.699	265.360	-3.704	-0.232
186.899	267.435	-3.659	-0.198
187.099	269.562	-3.672	-0.228
187.299	271.610	-3.654	-0.184
187.499	273.630	-3.651	-0.215
187.699	275.621	-3.660	-0.240
187.899	277.724	-3.653	-0.202
188.099	279.734	-3.624	-0.210
188.299	281.712	-3.647	-0.246
188.500	283.802	-3.613	-0.189
188.699	285.783	-3.630	-0.244
188.899	287.745	-3.630	-0.211
189.099	289.861	-3.614	-0.225
189.299	291.817	-3.602	-0.214
189.399	292.964	-3.623	-0.231
189.599	294.929	-3.602	-0.204
189.799	296.907	-3.582	-0.223
189.999	298.979	-3.637	-0.236
190.199	300.964	-3.577	-0.212
190.299	302.104	-3.561	-0.216
190.499	304.013	-3.626	-0.234
190.699	306.152	-3.587	-0.223
190.899	308.187	-3.553	-0.204
191.099	310.124	-3.595	-0.235
191.299	312.149	-3.554	-0.216
191.499	314.221	-3.568	-0.228
191.699	316.292	-3.579	-0.225
191.899	318.292	-3.524	-0.213
192.099	320.336	-3.559	-0.225
192.299	322.362	-3.551	-0.230
192.499	324.343	-3.511	-0.203
192.699	326.379	-3.570	-0.250
192.899	328.402	-3.508	-0.209
193.099	330.612	-3.514	-0.235
193.299	332.601	-3.504	-0.220
193.499	334.577	-3.510	-0.227
193.699	336.560	-3.500	-0.233
193.899	338.586	-3.487	-0.207
193.999	339.697	-3.498	-0.236
194.199	341.779	-3.482	-0.243
194.400	343.766	-3.494	-0.227
194.599	345.878	-3.459	-0.210
194.799	347.777	-3.495	-0.256
194.999	349.833	-3.466	-0.206
195.199	351.840	-3.454	-0.231
195.399	353.926	-3.432	-0.215
195.599	355.933	-3.472	-0.231
195.799	357.973	-3.430	-0.244
195.999	359.990	-3.456	-0.223
196.199	361.971	-3.432	-0.210
196.399	364.191	-3.431	-0.249
196.599	366.192	-3.452	-0.226
196.799	368.143	-3.435	-0.240
196.999	370.185	-3.398	-0.223
197.199	372.165	-3.443	-0.243
197.399	374.352	-3.399	-0.235
197.599	376.321	-3.418	-0.233
197.799	378.262	-3.411	-0.222
197.999	380.312	-3.374	-0.250
198.199	382.425	-3.385	-0.224
198.399	384.381	-3.385	-0.245
198.599	386.435	-3.350	-0.232
198.799	388.433	-3.393	-0.239
198.999	390.246	-3.322	-0.213
199.199	391.277	-3.359	-0.246
199.399	391.506	-3.363	-0.238
280.299	0.100	-4.968	0.254
280.499	0.272	-4.940	0.285
280.700	1.302	-4.923	0.284
280.899	2.994	-4.947	0.267
281.100	5.079	-4.938	0.308
281.299	7.135	-4.924	0.305
281.499	9.120	-4.930	0.306
281.699	11.183	-4.932	0.312
281.899	13.208	-4.934	0.309
282.099	15.235	-4.920	0.322
282.299	17.267	-4.950	0.330
282.499	19.274	-4.924	0.340
282.700	21.293	-4.928	0.327
282.899	23.322	-4.969	0.329
283.099	25.306	-4.915	0.353
283.299	27.421	-4.938	0.335
283.500	29.376	-4.928	0.325
283.599	30.526	-4.927	0.300
283.799	32.530	-4.921	0.321
283.999	34.512	-4.920	0.241
284.199	36.516	-4.544	0.118
284.399	38.541	-4.519	0.034
284.499	39.650	-4.470	0.015
284.699	41.737	-4.476	-0.003
284.899	43.742	-4.442	0.017
285.099	45.732	-4.389	-0.011
285.299	47.734	-4.391	-0.056
285.499	49.747	-4.362	-0.060
285.599	50.918	-4.348	-0.070
285.800	52.846	-4.310	-0.049
285.999	54.855	-4.349	-0.085
286.199	57.020	-4.302	-0.088
286.399	58.893	-4.301	-0.099
286.599	61.028	-4.307	-0.113
286.799	63.062	-4.264	-0.111
286.999	65.090	-4.256	-0.131
287.199	67.163	-4.277	-0.162
287.399	69.188	-4.244	-0.135
287.599	71.133	-4.262	-0.185
287.799	73.290	-4.230	-0.157
287.999	75.187	-4.229	-0.164
288.199	77.197	-4.221	-0.176
288.299	78.352	-4.208	-0.177
288.499	80.237	-4.234	-0.168
288.700	82.265	-4.204	-0.162
288.799	83.432	-4.194	-0.117
288.999	85.370	-4.201	-0.129
289.199	87.457	-4.216	-0.146
289.399	89.482	-4.173	-0.126
289.600	91.424	-4.211	-0.134
289.800	93.456	-4.169	-0.094
289.899	94.633	-4.180	-0.130
290.099	96.522	-4.192	-0.107
290.299	98.677	-4.172	-0.089
290.499	100.720	-4.157	-0.082
290.699	102.625	-4.172	-0.123
290.899	104.769	-4.157	-0.089
291.100	106.806	-4.125	-0.076
291.299	108.722	-4.152	-0.121
291.399	109.848	-4.131	-0.114
291.599	111.951	-4.128	-0.105
291.799	113.956	-4.097	-0.102
291.999	115.921	-4.139	-0.155
