TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
650.528	0.000	-3.925	2.502
650.728	0.017	-3.891	2.525
650.928	0.553	-3.906	2.534
651.128	1.884	-3.921	2.509
651.228	2.917	-3.904	2.535
651.428	4.902	-3.898	2.536
651.628	6.906	-3.900	2.510
651.728	8.021	-3.870	2.546
651.928	9.980	-3.904	2.497
652.028	11.083	-3.903	2.518
652.228	13.091	-3.917	2.531
652.428	15.125	-3.905	2.525
652.628	17.102	-3.895	2.533
652.828	19.122	-3.898	2.516
653.028	21.293	-3.885	2.520
653.228	23.222	-3.897	2.517
653.428	25.290	-3.915	2.517
653.628	27.360	-3.904	2.517
653.828	29.422	-3.884	2.533
654.028	31.386	-3.912	2.495
654.228	33.507	-3.875	2.523
654.428	35.518	-3.314	-0.999
654.628	37.518	-3.130	-1.346
654.828	39.554	-3.356	-1.439
655.028	41.614	-3.190	-2.337
655.228	43.569	-2.995	-4.608
655.428	45.691	-2.862	-5.324
655.628	47.670	-2.788	-5.324
655.828	49.812	-2.658	-5.324
656.028	51.691	-2.338	-5.324
656.228	53.785	-2.135	-5.324
656.428	55.747	-2.090	-5.324
656.628	57.794	-1.993	-5.324
656.728	58.906	-1.649	-4.430
656.928	60.905	-1.376	-4.270
657.128	62.867	-1.210	-4.980
657.328	65.051	-1.410	-3.670
657.528	67.029	-1.715	-3.572
657.728	69.003	-1.869	-3.780
657.928	71.120	-1.557	-5.072
658.128	73.166	-1.492	-5.324
658.327	75.143	-1.502	-5.324
658.528	77.208	-1.651	-5.324
658.728	79.204	-1.659	-5.324
658.928	81.224	-1.660	-5.324
659.128	83.260	-1.656	-5.324
659.328	85.236	-1.638	-5.324
659.528	87.443	-1.611	-5.324
659.728	89.466	-1.451	-5.324
659.928	91.431	-0.927	-5.076
660.128	93.433	-0.608	-4.768
660.328	95.420	-0.464	-5.157
660.528	97.615	-0.857	-3.618
660.728	99.598	-0.890	-4.009
660.928	101.589	-1.291	-4.005
661.128	103.694	-1.360	-4.124
661.328	105.692	-0.993	-4.896
661.528	107.687	-0.779	-5.320
661.728	109.784	-0.720	-5.324
661.928	111.789	-0.700	-5.324
662.128	113.810	-0.720	-5.324
662.328	115.823	-0.698	-5.324
662.528	117.820	-0.706	-5.324
662.728	119.853	-0.666	-5.324
662.928	121.936	-0.623	-5.324
663.128	123.884	-0.592	-5.324
663.328	125.958	-0.603	-5.324
663.528	128.068	-0.590	-5.324
663.728	130.072	-0.582	-5.324
663.928	132.101	-0.557	-5.324
664.128	134.105	-0.541	-5.324
664.328	136.111	-0.535	-5.324
664.427	137.219	-0.533	-5.324
664.628	139.225	-0.518	-5.324
664.828	141.356	-0.509	-5.324
665.028	143.361	-0.516	-5.324
665.228	145.331	-0.474	-5.324
665.428	147.430	-0.475	-5.324
665.628	149.400	-0.439	-5.324
665.828	151.521	-0.453	-5.324
666.028	153.443	-0.443	-5.324
666.228	155.426	-0.428	-5.324
666.428	157.628	-0.403	-5.324
666.628	159.628	-0.368	-5.324
666.828	161.590	-0.342	-5.324
667.028	163.710	-0.332	-5.324
667.228	165.778	-0.333	-5.324
667.427	167.768	-0.310	-5.324
667.628	169.705	-0.290	-5.324
667.828	171.711	-0.263	-5.324
667.928	172.863	-0.247	-5.324
668.128	174.766	-0.236	-5.324
668.228	175.874	-0.226	-5.324
668.428	177.918	-0.192	-5.324
668.628	179.944	-0.197	-5.324
668.828	181.984	-0.161	-5.324
669.028	184.007	-0.149	-5.324
669.228	185.992	-0.103	-5.324
669.428	188.126	-0.088	-5.324
669.628	190.033	0.658	-5.067
669.827	192.166	0.526	-5.224
670.028	194.209	0.662	-5.152
670.228	196.132	0.383	-4.382
670.428	198.197	0.228	-4.636
670.628	200.223	0.115	-4.740
670.828	202.308	-0.387	-4.627
671.028	204.322	-0.141	-5.067
671.228	206.336	0.071	-5.306
671.428	208.372	0.184	-5.324
671.628	210.366	0.243	-5.324
671.828	212.410	0.272	-5.324
672.027	214.456	0.255	-5.324
672.128	215.583	0.299	-5.324
672.328	217.609	0.285	-5.324
672.528	219.579	0.314	-5.324
672.728	221.597	0.337	-5.324
672.928	223.622	0.361	-5.324
673.128	225.627	0.373	-5.324
673.328	227.666	0.364	-5.324
673.527	229.739	0.377	-5.324
673.728	231.715	0.380	-5.324
673.928	233.858	0.414	-5.324
674.128	235.854	0.423	-5.324
674.328	237.821	0.417	-5.324
674.528	239.909	0.421	-5.324
674.728	241.898	0.442	-5.324
674.828	243.038	0.388	-5.324
675.027	244.930	0.470	-5.324
675.127	246.036	0.485	-5.324
675.328	248.116	0.497	-5.324
675.528	250.097	0.526	-5.324
675.728	252.245	0.500	-5.324
675.928	254.129	0.560	-5.324
676.128	256.129	0.521	-5.324
676.228	257.277	0.554	-5.324
676.428	259.217	0.592	-5.324
676.628	261.227	0.588	-5.324
676.828	263.312	0.641	-5.324
677.028	265.377	0.638	-5.324
677.228	267.380	0.643	-5.324
677.428	269.407	0.662	-5.324
677.628	271.425	0.706	-5.324
677.828	273.430	0.731	-5.324
678.028	275.541	1.683	-5.293
678.228	277.494	1.363	-5.319
678.328	278.649	1.175	-5.324
678.528	280.533	1.254	-5.290
678.628	281.646	0.465	-4.974
678.828	283.646	1.048	-5.135
679.028	285.683	1.094	-5.273
679.228	287.695	1.101	-5.319
679.428	289.732	1.129	-5.324
679.627	291.813	1.140	-5.324
679.828	293.795	1.139	-5.324
680.028	295.942	1.173	-5.324
680.228	297.910	1.197	-5.324
680.428	299.871	1.228	-5.324
680.628	301.947	1.221	-5.324
680.828	303.948	1.245	-5.324
680.928	305.033	1.280	-5.324
681.127	307.085	1.263	-5.324
681.328	309.208	1.297	-5.324
681.528	311.092	1.316	-5.324
681.728	313.217	1.341	-5.324
681.928	315.222	1.297	-5.324
682.128	317.227	1.304	-5.324
682.328	319.229	1.288	-5.324
682.528	321.279	1.332	-5.324
682.727	323.342	1.329	-5.324
682.928	325.342	1.358	-5.324
683.128	327.460	1.364	-5.324
683.328	329.444	1.355	-5.324
683.528	331.596	1.371	-5.324
683.728	333.471	1.407	-5.324
683.928	335.597	1.455	-5.324
684.128	337.567	2.430	-5.322
684.227	338.647	2.429	-5.324
684.428	340.572	2.225	-5.324
684.628	342.633	2.208	-5.310
684.828	344.739	2.232	-5.283
685.028	346.723	1.885	-5.319
685.228	348.748	1.850	-5.324
685.428	350.745	1.962	-5.324
685.628	352.872	1.996	-5.324
685.828	354.882	2.009	-5.324
686.028	356.863	1.996	-5.324
686.228	358.946	2.006	-5.324
686.428	360.925	2.024	-5.324
686.528	362.066	2.057	-5.324
686.728	363.956	2.003	-5.324
686.828	365.068	2.005	-5.324
687.028	367.061	1.997	-5.324
687.228	369.133	1.951	-5.324
687.428	371.258	1.952	-5.324
687.628	373.122	1.937	-5.324
687.828	375.245	1.959	-5.324
688.028	377.243	1.951	-5.324
688.228	379.276	1.968	-5.324
688.428	381.276	1.940	-5.324
688.628	383.285	1.938	-5.324
688.828	385.381	1.934	-5.324
689.028	387.377	1.966	-5.324
689.228	389.480	1.983	-5.324
689.428	390.858	2.031	-5.324
689.628	391.469	2.041	-5.324
689.828	391.507	2.020	-5.324
950.628	0.000	-3.886	0.377
950.828	0.278	-3.855	0.421
951.028	1.328	-3.894	0.379
951.228	3.176	-3.880	0.408
951.428	5.114	-3.899	0.388
951.628	7.160	-3.892	0.405
951.828	9.262	-3.900	0.401
952.028	11.256	-3.890	0.429
952.228	13.305	-3.883	0.415
952.428	15.284	-3.896	0.424
952.628	17.269	-3.885	0.417
952.728	18.375	-3.868	0.417
952.928	20.352	-3.859	0.434
953.128	22.472	-3.891	0.392
953.328	24.457	-3.864	0.425
953.528	26.633	-3.897	0.374
953.728	28.522	-3.875	0.404
953.928	30.509	-3.896	0.384
954.028	31.634	-3.888	0.407
954.228	33.681	-3.892	0.388
954.428	35.622	-3.214	-1.083
954.628	37.689	-2.943	-1.871
954.828	39.660	-3.179	-1.480
954.928	40.788	-2.949	-3.836
955.128	42.793	-2.838	-5.323
955.328	44.785	-2.825	-5.324
955.528	46.811	-2.829	-5.261
955.728	48.883	-2.620	-3.820
955.928	50.861	-2.657	-2.392
956.128	52.994	-2.424	-2.651
956.328	54.978	-2.146	-4.846
956.528	56.946	-2.014	-5.324
956.728	59.028	-1.751	-3.859
956.928	61.010	-1.895	-3.775
957.028	62.137	-1.540	-5.324
957.228	64.191	-1.508	-5.324
957.428	66.127	-1.475	-5.324
957.628	68.214	-1.389	-4.560
957.828	70.182	-1.452	-3.383
957.928	71.342	-1.600	-3.695
958.128	73.220	-1.157	-4.776
958.328	75.374	-1.310	-3.816
958.528	77.320	-0.978	-4.503
958.728	79.382	-0.607	-5.148
958.928	81.362	-0.938	-4.488
959.128	83.481	-1.383	-4.439
959.328	85.465	-0.788	-5.323
959.528	87.635	-0.748	-5.324
959.728	89.512	-0.763	-5.324
959.928	91.635	-0.363	-5.157
960.128	93.589	-0.678	-4.057
960.228	94.690	-1.029	-4.137
960.428	96.620	-0.988	-4.805
960.628	98.679	-0.678	-5.212
960.828	100.775	-0.537	-4.651
961.028	102.767	-0.464	-5.184
961.228	104.794	-0.399	-5.324
961.428	106.789	-0.437	-5.324
961.628	108.913	-0.426	-5.324
961.728	109.890	0.092	-5.059
961.928	111.872	0.140	-5.044
962.128	113.966	-0.472	-4.345
962.328	115.970	-0.571	-5.244
962.528	118.148	-0.691	-5.324
962.728	120.030	-0.494	-5.324
962.928	122.147	-0.328	-5.324
963.128	124.105	0.227	-5.188
963.228	125.200	0.173	-5.301
963.428	127.149	-0.229	-4.571
963.628	129.207	-0.258	-5.178
963.828	131.319	-0.165	-5.324
964.028	133.335	-0.172	-5.324
964.228	135.352	-0.204	-5.324
964.428	137.345	0.372	-5.131
964.628	139.340	0.069	-4.976
964.728	140.466	0.071	-4.191
964.928	142.444	0.502	-4.370
965.128	144.565	0.284	-4.690
965.328	146.561	0.107	-4.932
965.528	148.532	-0.006	-4.356
965.728	150.636	0.102	-4.927
965.928	152.635	0.472	-5.252
966.128	154.723	0.451	-4.591
966.328	156.640	0.097	-4.951
966.428	157.750	0.149	-5.324
966.628	159.816	0.120	-5.324
966.828	161.786	0.129	-5.324
967.028	163.761	0.152	-5.324
967.228	165.865	0.555	-5.252
967.428	167.863	0.765	-5.289
967.628	169.951	0.330	-4.783
967.828	171.943	-0.047	-5.248
968.028	173.958	-0.072	-5.324
968.228	175.991	-0.101	-5.324
968.428	178.022	-0.304	-5.324
968.628	180.030	-0.027	-5.281
968.828	182.059	0.158	-5.296
969.028	184.251	0.315	-4.877
969.228	186.239	0.198	-5.223
969.428	188.259	0.271	-5.324
969.628	190.260	0.257	-5.324
969.828	192.285	0.118	-5.324
970.028	194.310	0.275	-5.295
970.228	196.311	0.856	-5.248
970.428	198.359	0.618	-5.015
970.628	200.374	0.509	-5.224
970.828	202.595	0.447	-5.324
971.028	204.525	0.453	-5.324
971.228	206.548	0.458	-5.324
971.428	208.529	0.604	-5.321
971.628	210.643	1.390	-5.260
971.828	212.674	1.138	-4.564
972.028	214.645	1.308	-4.930
972.228	216.759	0.854	-5.298
972.428	218.723	0.666	-5.017
972.628	220.725	0.794	-5.320
972.828	222.755	0.945	-5.324
973.028	224.898	0.920	-5.324
973.228	226.982	0.896	-5.324
973.428	229.001	1.312	-5.314
973.628	231.078	1.530	-5.316
973.828	233.043	0.945	-5.014
974.028	235.072	0.633	-5.306
974.228	237.107	0.617	-5.324
974.428	239.138	0.628	-5.324
974.628	241.145	0.626	-5.324
974.828	243.157	0.894	-5.233
975.028	245.189	1.329	-5.004
975.228	247.198	1.326	-5.228
975.428	249.272	1.850	-5.318
975.628	251.249	1.605	-5.264
975.728	252.413	1.312	-5.315
975.928	254.288	1.356	-5.324
976.128	256.412	1.328	-5.324
976.328	258.455	1.323	-5.324
976.528	260.455	1.363	-5.324
976.728	262.447	2.047	-5.321
976.928	264.585	2.181	-5.303
977.128	266.609	1.681	-5.298
977.328	268.561	1.612	-5.324
977.528	270.652	1.549	-5.324
977.728	272.645	1.557	-5.324
977.928	274.799	1.530	-5.324
978.128	276.790	2.093	-5.323
978.328	278.807	2.026	-5.324
978.528	280.852	1.856	-5.210
978.728	282.819	1.974	-5.284
978.928	284.943	2.270	-5.324
979.128	286.936	2.353	-5.323
979.328	288.928	1.295	-5.319
979.528	290.977	1.159	-5.324
979.728	293.034	1.843	-5.324
979.928	295.014	1.815	-5.324
980.128	297.140	1.814	-5.324
980.328	299.164	2.592	-5.324
980.528	301.108	2.101	-5.312
980.728	303.209	1.188	-5.320
980.928	305.202	1.125	-5.324
981.128	307.361	1.581	-5.324
981.328	309.338	1.954	-5.324
981.528	311.319	2.422	-5.324
981.728	313.346	2.559	-5.324
981.928	315.435	2.443	-5.299
982.128	317.416	2.436	-5.306
982.328	319.419	2.693	-5.322
982.528	321.539	2.803	-5.323
982.728	323.641	1.663	-5.323
982.928	325.502	1.467	-5.324
983.128	327.697	1.448	-5.324
983.328	329.599	1.657	-5.324
983.528	331.615	2.275	-5.324
983.628	332.773	2.586	-5.324
983.828	334.768	3.347	-5.324
984.028	336.750	2.396	-5.322
984.228	338.776	1.576	-5.324
984.428	340.924	1.541	-5.324
984.628	342.898	1.520	-5.324
984.828	344.891	2.267	-5.324
985.028	346.850	2.558	-5.324
985.128	348.042	3.559	-5.324
985.328	350.006	3.073	-5.324
985.528	351.950	2.711	-5.313
985.728	354.048	2.546	-5.320
985.928	356.041	2.229	-5.313
986.128	358.257	3.196	-5.324
986.328	360.107	3.935	-5.324
986.528	362.243	3.530	-5.324
986.728	364.338	3.583	-5.319
986.928	366.303	2.305	-5.324
987.128	368.273	1.997	-5.324
987.328	370.352	2.737	-5.324
987.528	372.365	2.781	-5.324
987.728	374.361	2.767	-5.324
987.928	376.362	3.337	-5.324
988.128	378.478	3.558	-5.324
988.328	380.533	2.339	-5.322
988.528	382.498	1.949	-5.324
988.728	384.677	1.861	-5.324
988.928	386.585	1.883	-5.324
989.128	388.642	1.885	-5.324
989.328	390.355	3.421	-5.324
989.528	391.323	3.561	-5.324
989.728	391.507	2.994	-5.323
1250.728	0.000	-3.846	0.352
1250.928	0.344	-3.844	0.352
1251.128	1.447	-3.854	0.351
1251.328	3.446	-3.861	0.353
1251.529	5.284	-3.848	0.355
1251.729	7.415	-3.849	0.343
1251.928	9.466	-3.844	0.352
1252.128	11.451	-3.842	0.351
1252.328	13.582	-3.850	0.340
1252.529	15.472	-3.839	0.355
1252.728	17.625	-3.853	0.335
1252.928	19.656	-3.850	0.356
1253.128	21.574	-3.861	0.333
1253.328	23.697	-3.835	0.342
1253.528	25.848	-3.836	0.343
1253.728	27.685	-3.837	0.350
1253.828	28.792	-3.829	0.324
1254.028	30.891	-3.853	0.348
1254.228	32.870	-3.831	0.331
1254.428	34.824	-3.601	-0.657
1254.628	36.896	-3.039	-1.248
1254.828	38.866	-2.827	-4.889
1255.028	41.077	-2.810	-5.324
1255.228	43.052	-2.637	-3.311
1255.428	44.982	-2.812	-2.008
1255.628	47.042	-2.693	-5.111
1255.828	49.023	-2.602	-5.324
1255.928	50.174	-2.416	-3.801
1256.128	52.208	-2.329	-2.677
1256.328	54.101	-2.026	-5.204
1256.528	56.296	-2.013	-5.324
1256.728	58.281	-1.746	-4.794
1256.928	60.233	-1.301	-3.507
1257.128	62.304	-1.067	-3.918
1257.328	64.398	-0.902	-4.018
1257.528	66.405	-1.334	-3.686
1257.728	68.383	-0.948	-4.682
1257.828	69.484	-0.939	-3.810
1258.028	71.415	-1.084	-4.038
1258.128	72.512	-0.899	-4.874
1258.328	74.485	-0.740	-4.931
1258.528	76.631	-1.164	-4.785
1258.728	78.559	-1.061	-5.324
1258.928	80.609	-1.073	-5.324
1259.128	82.602	-0.696	-5.196
1259.228	83.762	-0.510	-5.188
1259.428	85.670	-0.710	-4.552
1259.628	87.804	-0.635	-5.319
1259.828	89.725	-0.635	-5.324
1260.028	91.791	-0.516	-4.674
1260.229	93.917	-0.374	-4.045
1260.428	95.990	-0.739	-4.593
1260.628	97.975	-0.564	-4.928
1260.828	99.929	0.028	-4.368
1261.028	101.965	-0.395	-4.471
1261.228	103.955	-0.463	-4.439
1261.428	106.154	-0.792	-4.407
1261.628	108.120	-0.407	-5.206
1261.828	110.064	-0.224	-5.201
1262.028	112.124	-0.281	-5.153
1262.228	114.251	-0.282	-5.324
1262.428	116.273	-0.266	-5.324
1262.628	118.196	0.028	-5.270
1262.828	120.338	0.182	-5.242
1263.028	122.477	-0.192	-4.941
1263.228	124.323	0.016	-5.323
1263.428	126.466	-0.031	-5.324
1263.628	128.541	0.119	-5.281
1263.828	130.546	0.497	-5.268
1264.028	132.519	-0.073	-4.914
1264.228	134.566	0.167	-5.304
1264.428	136.565	0.191	-5.324
1264.628	138.566	0.144	-5.324
1264.828	140.731	0.581	-5.241
1265.028	142.673	0.658	-5.055
1265.228	144.749	-0.000	-4.888
1265.428	146.729	-0.109	-5.324
1265.628	148.897	-0.242	-5.324
1265.828	150.825	-0.392	-5.324
1266.028	152.804	0.344	-5.204
1266.228	154.867	-0.075	-4.380
1266.428	156.944	-0.309	-4.559
1266.628	158.939	0.448	-5.256
1266.828	160.959	0.593	-5.051
1267.028	162.984	0.427	-5.262
1267.229	164.988	0.425	-5.324
1267.328	166.171	0.409	-5.324
1267.528	168.166	0.386	-5.324
1267.728	170.180	0.690	-5.284
1267.928	172.205	1.016	-5.266
1268.128	174.175	0.531	-4.808
1268.328	176.193	0.216	-5.295
1268.528	178.215	0.230	-5.324
1268.728	180.363	0.231	-5.324
1268.928	182.486	0.604	-4.797
1269.128	184.334	0.451	-4.530
1269.228	185.499	0.038	-4.992
1269.428	187.422	0.466	-5.237
1269.628	189.427	1.084	-4.944
1269.728	190.593	0.481	-5.028
1269.928	192.489	0.542	-5.321
1270.129	194.622	0.530	-5.324
1270.328	196.644	0.524	-5.324
1270.528	198.590	1.065	-5.278
1270.728	200.593	1.376	-5.220
1270.928	202.651	0.930	-5.182
1271.128	204.762	0.942	-5.324
1271.328	206.779	0.917	-5.324
1271.528	208.795	1.250	-5.287
1271.728	210.788	1.527	-5.284
1271.928	212.834	1.224	-4.979
1272.128	214.902	1.153	-5.168
1272.328	216.909	1.061	-5.324
1272.528	219.059	1.025	-5.324
1272.728	221.081	1.066	-5.324
1272.928	223.083	1.796	-5.294
1273.128	225.170	1.305	-5.101
1273.329	227.159	0.900	-5.283
1273.529	229.124	0.883	-5.324
1273.729	231.182	0.693	-5.324
1273.928	233.185	0.669	-5.318
1274.128	235.196	1.641	-5.310
1274.328	237.214	1.266	-5.153
1274.428	238.342	0.666	-5.323
1274.628	240.422	1.204	-5.324
1274.828	242.422	1.282	-5.324
1275.028	244.413	1.266	-5.324
1275.228	246.511	1.978	-5.303
1275.428	248.538	1.478	-5.238
1275.628	250.607	0.788	-5.276
1275.828	252.532	0.666	-5.324
1276.028	254.531	1.017	-5.321
1276.128	255.698	1.631	-5.322
1276.328	257.605	1.825	-5.198
1276.528	259.605	1.676	-5.317
1276.628	260.753	1.601	-5.324
1276.828	262.756	1.605	-5.324
1277.028	264.759	1.552	-5.324
1277.228	266.805	2.208	-5.313
1277.428	268.810	1.981	-5.300
1277.628	270.963	1.385	-5.250
1277.828	272.861	1.325	-5.324
1278.028	274.873	1.289	-5.324
1278.128	276.026	1.253	-5.324
1278.328	277.956	1.499	-5.311
1278.528	279.942	2.094	-5.300
1278.728	282.023	1.173	-5.300
1278.928	284.111	1.071	-5.324
1279.128	286.122	1.152	-5.324
1279.328	288.184	1.887	-5.324
1279.528	290.212	2.751	-5.316
1279.728	292.217	2.354	-5.266
1279.928	294.299	2.813	-5.260
1280.128	296.250	2.246	-5.309
1280.228	297.394	2.749	-5.268
1280.428	299.276	2.778	-5.303
1280.629	301.382	2.590	-5.268
1280.828	303.383	2.100	-5.307
1281.028	305.430	2.841	-5.320
1281.228	307.430	2.457	-5.273
1281.428	309.551	1.490	-5.321
1281.628	311.556	1.323	-5.324
1281.828	313.549	1.322	-5.324
1282.028	315.647	1.319	-5.324
1282.228	317.628	2.764	-5.320
1282.428	319.804	2.632	-5.312
1282.628	321.673	1.828	-5.322
1282.828	323.698	1.521	-5.324
1283.028	325.864	1.509	-5.324
1283.228	327.827	1.508	-5.324
1283.428	329.789	2.407	-5.324
1283.628	331.874	2.755	-5.305
1283.828	333.857	2.597	-5.322
1283.928	335.021	2.468	-5.324
1284.128	336.929	2.355	-5.324
1284.328	338.948	2.367	-5.324
1284.529	341.139	3.009	-5.316
1284.728	343.151	3.321	-5.317
1284.928	345.121	2.432	-5.311
