TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
358.228	274.000	85.351	-1.355	0.608
358.427	274.000	70.923	-1.342	0.627
358.627	274.000	57.461	-1.342	0.639
358.827	274.000	38.583	-1.332	0.617
359.027	274.000	24.117	-1.327	0.623
359.227	274.000	11.049	-1.352	0.632
359.428	274.000	1.111	-1.345	0.627
359.628	274.000	0.908	-1.353	0.618
359.828	274.000	1.238	-1.369	0.611
359.928	274.000	10.319	-1.366	0.658
360.128	274.000	23.641	-1.375	0.639
360.328	274.000	36.640	-1.387	0.616
360.528	274.000	49.651	-1.343	0.645
360.728	274.000	63.119	-1.357	0.616
360.927	274.000	77.648	-1.337	0.644
361.128	274.000	89.478	-1.366	0.606
361.328	274.000	90.094	-1.334	0.640
361.528	274.000	82.887	-1.369	0.624
361.728	274.000	69.336	-1.353	0.623
361.828	274.000	57.531	-1.345	0.632
362.028	274.000	43.948	-1.345	0.621
362.228	274.000	30.423	-1.335	0.632
362.428	274.000	17.767	-1.319	0.615
362.628	274.000	4.248	-1.313	0.624
362.828	274.000	0.864	-1.296	0.634
363.027	274.000	1.245	-1.331	0.620
363.127	274.000	10.192	-1.293	0.651
363.328	274.000	23.432	-1.306	0.628
363.528	274.000	36.443	-1.344	0.626
363.728	274.000	49.428	-1.320	0.631
363.928	274.000	62.808	-1.329	0.630
364.127	274.000	77.426	-1.330	0.626
364.328	274.000	89.548	-1.326	0.614
364.527	274.000	90.094	-1.336	0.643
364.727	274.000	82.861	-1.327	0.637
364.928	274.000	69.355	-1.344	0.633
365.127	274.000	54.636	-1.339	0.623
365.327	274.000	40.380	-1.367	0.620
365.527	274.000	22.073	-1.324	0.647
365.727	274.000	7.557	-1.357	0.631
365.927	274.000	0.832	-1.379	0.625
366.127	274.000	1.251	-1.356	0.632
366.328	274.000	11.240	-1.369	0.625
366.527	274.000	24.670	-1.347	0.623
366.727	274.000	38.856	-1.345	0.622
366.927	274.000	53.340	-1.356	0.635
367.127	274.000	67.107	-1.356	0.622
367.327	274.000	85.630	-1.349	0.637
367.528	274.000	90.132	-1.349	0.616
367.728	274.000	90.043	-1.367	0.636
367.928	274.000	89.751	-1.345	0.632
368.128	274.000	79.642	-1.361	0.631
368.327	274.000	65.672	-1.347	0.640
368.528	274.000	52.216	-1.375	0.624
368.727	274.000	39.497	-1.364	0.632
368.927	274.000	24.835	-1.341	0.624
369.027	274.000	12.421	-1.370	0.645
369.227	274.000	1.715	-1.368	0.630
369.428	274.000	0.895	-1.367	0.621
369.628	274.000	3.562	-1.379	0.625
369.828	274.000	16.840	-1.354	0.631
370.028	274.000	30.817	-1.380	0.631
370.228	274.000	45.345	-1.362	0.631
370.427	274.000	58.801	-1.361	0.625
370.627	274.000	73.317	-1.356	0.626
370.828	274.000	87.173	-1.350	0.622
371.027	274.000	88.932	-1.324	0.646
371.228	274.000	76.346	-1.338	0.612
371.428	274.000	62.643	-1.335	0.630
371.627	274.000	49.301	-1.328	0.632
371.828	274.000	36.474	-1.323	0.629
372.028	274.000	23.044	-1.337	0.628
372.228	274.000	9.455	-1.347	0.613
372.428	274.000	0.819	-1.340	0.648
372.627	274.000	1.022	-1.334	0.599
372.827	274.000	10.103	-1.346	0.629
373.027	274.000	24.359	-1.346	0.624
373.227	274.000	37.891	-1.355	0.627
373.427	274.000	56.401	-1.356	0.626
373.627	274.000	72.168	-1.341	0.633
373.827	274.000	85.052	-1.341	0.648
374.027	274.000	90.177	-1.351	0.605
374.228	274.000	90.043	-1.353	0.642
374.428	274.000	89.910	-1.336	0.629
374.627	274.000	81.426	-1.363	0.613
374.828	274.000	67.818	-1.345	0.644
375.028	274.000	54.578	-1.355	0.618
375.228	274.000	40.443	-1.352	0.631
375.427	274.000	25.730	-1.340	0.624
375.627	274.000	12.205	-1.362	0.614
375.827	274.000	1.118	-1.357	0.629
376.027	274.000	2.972	-1.350	0.624
376.227	274.000	16.853	-1.337	0.652
376.427	274.000	31.077	-1.349	0.619
376.628	274.000	44.704	-1.370	0.632
376.827	274.000	57.995	-1.359	0.629
377.027	274.000	70.771	-1.354	0.620
377.228	274.000	84.506	-1.354	0.629
377.428	274.000	90.050	-1.356	0.605
377.627	274.000	89.802	-1.355	0.646
377.727	274.000	82.372	-1.342	0.618
377.927	274.000	68.783	-1.356	0.619
378.128	274.000	55.880	-1.354	0.632
