TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
53.577	0.000	89.669	-4.970	2.473
55.129	0.000	89.669	-4.976	2.475
56.681	0.000	89.669	-4.973	2.471
58.231	0.000	89.669	-4.973	2.468
59.788	0.000	89.669	-4.970	2.475
61.341	0.000	89.669	-4.969	2.474
62.894	0.000	89.669	-4.976	2.471
64.445	0.000	89.669	-4.966	2.477
65.994	0.000	89.669	-4.972	2.472
67.546	0.000	89.669	-4.969	2.471
69.097	0.000	89.669	-4.972	2.471
70.644	0.000	89.669	-4.974	2.473
72.192	0.000	89.669	-4.972	2.467
73.737	0.000	89.669	-4.968	2.474
75.282	0.000	89.669	-4.970	2.481
76.836	0.000	89.669	-4.971	2.480
78.392	0.000	89.669	-4.970	2.470
79.948	0.000	89.669	-4.970	2.475
81.504	0.000	89.669	-4.968	2.477
83.056	0.000	89.669	-4.973	2.475
84.611	0.000	89.669	-4.970	2.476
86.164	0.000	89.669	-4.968	2.473
87.721	0.000	89.669	-4.969	2.477
89.277	0.000	89.669	-4.969	2.478
90.826	0.000	89.669	-4.965	2.480
92.373	0.000	89.669	-4.971	2.480
93.922	0.000	89.669	-4.965	2.490
103.261	0.000	89.669	-4.971	2.489
104.815	0.000	89.669	-4.961	2.497
106.371	0.000	89.669	-4.968	2.501
107.925	0.000	89.669	-4.962	2.509
109.473	0.000	89.669	-4.965	2.504
111.017	0.000	89.669	-4.962	2.507
112.566	0.000	89.669	-4.962	2.508
114.114	0.000	89.669	-4.959	2.514
115.662	0.000	89.669	-4.965	2.498
117.210	0.000	89.669	-4.971	2.495
118.763	0.000	89.669	-4.959	2.495
120.321	0.000	89.669	-4.964	2.500
121.875	0.000	89.669	-4.967	2.501
123.424	0.000	89.669	-4.969	2.492
124.976	0.000	89.669	-4.965	2.499
126.529	0.000	89.669	-4.967	2.494
128.074	0.000	89.669	-4.965	2.504
129.624	0.000	89.669	-4.969	2.494
131.173	0.000	89.669	-4.967	2.485
132.727	0.000	89.669	-4.972	2.484
327.943	0.000	89.669	-4.963	0.540
329.495	0.000	89.669	-4.964	0.530
331.045	0.000	89.669	-4.966	0.527
332.594	0.000	89.669	-4.968	0.525
334.145	0.000	89.669	-4.967	0.532
335.698	0.000	89.669	-4.970	0.526
337.252	0.000	89.669	-4.952	0.696
338.806	0.000	89.669	-4.965	0.809
340.358	0.000	89.669	-4.966	0.942
341.909	0.000	89.669	-4.973	1.063
343.467	0.000	89.669	-4.969	1.166
345.027	0.000	89.669	-4.965	0.532
346.587	0.000	89.669	-4.972	0.540
348.145	0.000	89.669	-4.968	0.545
349.703	0.000	89.669	-4.969	0.539
351.252	0.000	89.669	-4.964	0.540
352.799	0.000	89.669	-4.962	0.536
354.348	0.000	89.669	-4.970	0.535
355.891	0.000	89.669	-4.972	0.526
357.433	0.000	89.669	-4.969	0.534
358.980	0.000	89.669	-4.967	0.532
360.529	0.000	89.669	-4.964	0.535
362.080	0.000	89.669	-4.967	0.528
363.634	0.000	89.669	-4.962	0.533
365.182	0.000	89.669	-4.965	0.529
366.730	0.000	89.669	-4.962	0.534
368.279	0.000	89.669	-4.965	0.537
369.827	0.000	89.669	-4.964	0.536
371.377	0.000	89.669	-4.964	0.532
372.922	0.000	89.669	-4.957	0.539
374.472	0.000	89.669	-4.961	0.535
376.022	0.000	89.669	-4.959	0.534
377.570	0.000	89.669	-4.963	0.532
379.123	0.000	89.669	-4.951	0.537
380.679	0.000	89.669	-4.960	0.532
382.236	0.000	89.669	-4.959	0.542
383.792	0.000	89.669	-4.961	0.534
385.344	0.000	89.669	-4.965	0.530
386.896	0.000	89.669	-4.957	0.541
388.449	0.000	89.669	-4.962	0.608
390.003	0.000	89.669	-4.966	0.632
391.564	0.000	89.669	-4.963	0.730
393.118	0.000	89.669	-4.959	0.817
424.076	0.000	89.669	-4.974	1.787
425.623	0.000	89.669	-4.976	1.803
427.177	0.000	89.669	-4.970	1.842
428.731	0.000	89.669	-4.970	1.862
430.282	0.000	89.669	-4.976	1.880
431.834	0.000	89.669	-4.979	1.888
433.386	0.000	89.669	-4.974	1.916
434.940	0.000	89.669	-4.968	1.936
436.492	0.000	89.669	-4.974	1.945
438.045	0.000	89.669	-4.974	1.969
439.601	0.000	89.669	-4.977	1.981
441.155	0.000	89.669	-4.971	2.012
442.705	0.000	89.669	-4.972	2.020
444.259	0.000	89.669	-4.975	2.034
445.809	0.000	89.669	-4.974	2.046
447.358	0.000	89.669	-4.975	2.063
448.916	0.000	89.669	-4.972	2.070
450.474	0.000	89.669	-4.974	2.080
452.030	0.000	89.669	-4.973	2.089
453.586	0.000	89.669	-4.977	2.100
455.133	0.000	89.669	-4.971	2.115
456.682	0.000	89.669	-4.969	2.131
458.236	0.000	89.669	-4.971	2.148
459.784	0.000	89.669	-4.972	2.159
461.335	0.000	89.669	-4.968	2.171
462.886	0.000	89.669	-4.970	2.183
464.437	0.000	89.669	-4.971	2.194
