TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
53.577	0.000	-5.032	0.593
55.129	0.000	-5.025	0.633
56.681	0.000	-5.025	0.662
58.231	0.000	-5.022	0.679
59.788	0.000	-5.026	0.697
61.341	0.000	-5.032	0.696
62.894	0.000	-5.026	0.664
64.445	0.000	-5.025	0.691
65.994	0.000	-5.026	0.696
67.546	0.000	-5.029	0.692
69.097	0.000	-5.024	0.765
70.644	0.000	-5.024	0.762
72.192	0.000	-5.022	0.785
73.737	0.000	-5.020	0.795
75.282	0.000	-5.021	0.803
76.836	0.000	-5.014	0.773
78.392	0.000	-5.021	0.766
79.948	0.000	-5.023	0.782
81.504	0.000	-5.020	0.795
83.056	0.000	-5.021	0.769
84.611	0.000	-5.016	0.783
86.164	0.000	-5.022	0.783
87.721	0.000	-5.025	0.782
89.277	0.000	-5.020	0.847
90.826	0.000	-5.017	0.846
92.373	0.000	-5.019	0.855
93.922	0.000	-5.024	0.874
103.261	0.000	-5.015	0.904
104.815	0.000	-5.020	0.904
106.371	0.000	-5.021	0.908
107.925	0.000	-5.029	0.951
109.473	0.000	-5.017	0.904
111.017	0.000	-5.021	0.920
112.566	0.000	-5.022	0.933
114.114	0.000	-5.025	0.928
115.662	0.000	-5.025	0.919
117.210	0.000	-5.027	0.898
118.763	0.000	-5.022	0.880
120.321	0.000	-5.024	0.868
121.875	0.000	-5.025	0.897
123.424	0.000	-5.028	0.851
124.976	0.000	-5.025	0.862
126.529	0.000	-5.028	0.843
128.074	0.000	-5.026	0.858
129.624	0.000	-5.028	0.846
131.173	0.000	-5.032	0.850
132.727	0.000	-5.031	0.879
327.943	0.000	-5.122	3.674
329.495	0.000	-5.121	3.687
331.045	0.000	-5.127	3.690
332.594	0.000	-5.123	3.678
334.145	0.000	-5.121	3.692
335.698	0.000	-5.118	3.683
337.252	0.000	-5.127	3.685
338.806	0.000	-5.123	3.692
340.358	0.000	-5.126	3.673
341.909	0.000	-5.121	3.695
343.467	0.000	-5.119	3.684
345.027	0.000	-5.119	3.690
346.587	0.000	-5.122	3.685
348.145	0.000	-5.122	3.694
349.703	0.000	-5.119	3.692
351.252	0.000	-5.122	3.690
352.799	0.000	-5.122	3.702
354.348	0.000	-5.127	3.703
355.891	0.000	-5.120	3.700
357.433	0.000	-5.114	3.707
358.980	0.000	-5.118	3.713
360.529	0.000	-5.115	3.710
362.080	0.000	-5.115	3.705
363.634	0.000	-5.115	3.706
365.182	0.000	-5.119	3.699
366.730	0.000	-5.118	3.710
368.279	0.000	-5.115	3.706
369.827	0.000	-5.113	3.727
371.377	0.000	-5.113	3.721
372.922	0.000	-5.118	3.719
374.472	0.000	-5.111	3.716
376.022	0.000	-5.118	3.705
377.570	0.000	-5.114	3.727
379.123	0.000	-5.117	3.722
380.679	0.000	-5.121	3.721
382.236	0.000	-5.122	3.712
383.792	0.000	-5.112	3.725
385.344	0.000	-5.112	3.731
386.896	0.000	-5.117	3.737
388.449	0.000	-5.120	3.740
390.003	0.000	-5.120	3.722
391.564	0.000	-5.114	3.742
393.118	0.000	-5.118	3.733

