TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
120.740	274.000	35.351	3.878	0.195
120.940	274.000	41.440	3.901	0.219
121.140	274.000	47.562	3.928	0.227
121.340	274.000	55.715	3.913	0.202
121.540	274.000	61.754	3.912	0.205
121.740	274.000	68.047	3.899	0.201
121.940	274.000	73.559	3.912	0.210
122.140	274.000	79.502	3.918	0.232
122.340	274.000	85.039	3.914	0.209
122.540	274.000	90.075	3.907	0.202
122.740	274.000	90.075	3.878	0.198
122.940	274.000	88.176	3.894	0.213
123.040	274.000	82.664	3.932	0.241
123.240	274.000	76.854	3.918	0.214
123.440	274.000	71.215	3.881	0.185
123.640	274.000	65.316	3.891	0.217
123.840	274.000	59.576	3.882	0.220
124.040	274.000	53.397	3.919	0.231
124.240	274.000	47.765	3.900	0.202
124.440	274.000	41.599	3.907	0.211
124.640	274.000	35.395	3.872	0.206
124.840	274.000	27.343	3.902	0.221
125.040	274.000	21.152	3.912	0.223
125.240	274.000	15.685	3.913	0.191
125.440	274.000	9.830	3.894	0.213
125.640	274.000	4.121	3.881	0.205
125.840	274.000	0.845	3.897	0.219
126.039	274.000	0.933	3.914	0.232
126.139	274.000	2.718	3.918	0.174
126.340	274.000	8.611	3.893	0.198
126.540	274.000	14.307	3.884	0.206
126.740	274.000	20.009	3.894	0.225
126.940	274.000	25.413	3.920	0.224
127.140	274.000	31.769	3.905	0.204
127.340	274.000	37.884	3.899	0.207
127.540	274.000	43.860	3.881	0.209
127.740	274.000	49.981	3.905	0.217
127.940	274.000	55.931	3.909	0.220
128.140	274.000	63.881	3.896	0.212
128.340	274.000	69.945	3.895	0.214
128.540	274.000	75.616	3.888	0.202
128.740	274.000	81.217	3.901	0.219
128.940	274.000	86.786	3.898	0.212
129.140	274.000	90.126	3.899	0.202
129.340	274.000	89.726	3.898	0.212
129.440	274.000	84.690	3.874	0.189
129.640	274.000	78.912	3.896	0.233
129.840	274.000	73.254	3.899	0.218
130.040	274.000	67.526	3.911	0.216
130.240	274.000	61.754	3.884	0.203
130.440	274.000	55.512	3.885	0.212
130.640	274.000	49.994	3.892	0.216
130.740	274.000	44.723	3.918	0.232
130.940	274.000	39.205	3.898	0.202
131.140	274.000	33.585	3.893	0.199
131.340	274.000	27.902	3.883	0.215
131.540	274.000	22.231	3.885	0.225
131.740	274.000	16.212	3.915	0.232
131.940	274.000	9.957	3.906	0.199
132.140	274.000	4.248	3.904	0.214
132.340	274.000	0.889	3.872	0.200
132.540	274.000	2.800	3.913	0.234
132.740	274.000	9.157	3.901	0.230
132.940	274.000	14.834	3.921	0.211
133.140	274.000	20.644	3.900	0.214
133.340	274.000	26.226	3.908	0.199
133.540	274.000	31.928	3.888	0.225
133.740	274.000	38.189	3.877	0.204
133.940	274.000	44.374	3.878	0.219
134.140	274.000	50.508	3.871	0.207
134.340	274.000	56.610	3.880	0.230
134.540	274.000	62.109	3.886	0.216
134.740	274.000	70.555	3.889	0.209
134.940	274.000	76.397	3.880	0.207
135.140	274.000	81.991	3.876	0.221
135.340	274.000	87.643	3.895	0.221
135.540	274.000	90.157	3.895	0.219
135.640	274.000	90.043	3.876	0.224
135.840	274.000	86.182	3.901	0.201
136.040	274.000	80.436	3.887	0.206
136.239	274.000	74.898	3.874	0.206
136.439	274.000	69.037	3.879	0.220
136.639	274.000	63.297	3.881	0.200
136.839	274.000	57.322	3.898	0.210
137.040	274.000	51.130	3.878	0.195
137.240	274.000	44.964	3.909	0.231
137.440	274.000	39.364	3.896	0.221
137.640	274.000	33.033	3.898	0.206
137.840	274.000	26.988	3.876	0.199
138.040	274.000	19.133	3.880	0.208
138.240	274.000	12.802	3.889	0.229
138.440	274.000	7.029	3.909	0.226
138.640	274.000	1.454	3.915	0.208
138.840	274.000	0.895	3.877	0.195
139.040	274.000	4.616	3.873	0.191
139.140	274.000	9.576	3.895	0.234
139.340	274.000	15.227	3.901	0.217
139.540	274.000	20.822	3.892	0.214
139.740	274.000	26.334	3.906	0.201
139.940	274.000	31.953	3.880	0.217
140.040	274.000	37.243	3.900	0.198
140.240	274.000	42.583	3.895	0.212
140.440	274.000	48.374	3.903	0.221
140.640	274.000	54.115	3.907	0.217
140.840	274.000	59.525	3.893	0.217
141.040	274.000	65.799	3.912	0.213
141.240	274.000	71.946	3.908	0.219
141.440	274.000	78.118	3.910	0.194
141.640	274.000	86.240	3.927	0.220
141.840	274.000	90.170	3.910	0.188
142.040	274.000	90.037	3.924	0.220
142.240	274.000	86.278	3.898	0.200
142.440	274.000	80.385	3.933	0.224
142.640	274.000	74.797	3.912	0.196
142.841	274.000	68.904	3.921	0.208
143.040	274.000	62.948	3.902	0.223
143.240	274.000	57.684	3.941	0.225
143.341	274.000	52.375	3.908	0.190
143.540	274.000	46.749	3.935	0.217
143.740	274.000	41.161	3.922	0.204
143.940	274.000	35.414	3.918	0.218
144.140	274.000	29.763	3.914	0.210
144.340	274.000	24.060	3.919	0.217
144.440	274.000	18.758	3.937	0.235
144.640	274.000	13.418	3.906	0.196
144.840	274.000	7.563	3.901	0.201
145.040	274.000	2.223	3.875	0.212
145.240	274.000	0.876	3.929	0.239
145.440	274.000	5.182	3.911	0.226
145.640	274.000	11.265	3.925	0.209
145.840	274.000	17.323	3.908	0.204
146.040	274.000	23.578	3.887	0.217
146.240	274.000	29.458	3.929	0.231
146.440	274.000	35.986	3.911	0.214
146.640	274.000	41.828	3.921	0.212
146.840	274.000	47.739	3.902	0.213
147.040	274.000	53.715	3.913	0.209
147.240	274.000	59.963	3.907	0.220
147.440	274.000	66.396	3.920	0.203
147.640	274.000	72.416	3.909	0.219
147.840	274.000	78.429	3.918	0.224
148.040	274.000	84.442	3.893	0.216
148.240	274.000	90.157	3.932	0.220
148.440	274.000	89.662	3.911	0.217
148.640	274.000	83.585	3.911	0.195
148.840	274.000	76.981	3.896	0.211
149.042	274.000	70.765	3.924	0.231
149.240	274.000	65.138	3.920	0.227
149.442	274.000	58.642	3.913	0.203
149.642	274.000	52.648	3.907	0.216
149.840	274.000	46.660	3.898	0.213
150.040	274.000	40.602	3.927	0.225
150.240	274.000	34.589	3.921	0.224
150.440	274.000	28.721	3.916	0.214
150.540	274.000	25.114	3.902	0.211
150.740	274.000	19.114	3.898	0.208
150.940	274.000	13.259	3.916	0.236
151.140	274.000	6.985	3.924	0.217
151.340	274.000	1.251	3.932	0.217
151.540	274.000	1.124	3.908	0.208
151.740	274.000	6.033	3.910	0.205
151.940	274.000	12.275	3.926	0.224
152.140	274.000	18.802	3.945	0.234
152.340	274.000	24.695	3.924	0.203
152.540	274.000	30.588	3.927	0.213
152.740	274.000	36.703	3.921	0.208
152.940	274.000	42.971	3.941	0.237
153.140	274.000	49.314	3.925	0.214
153.340	274.000	54.997	3.945	0.238
153.540	274.000	61.557	3.934	0.209
153.740	274.000	67.615	3.929	0.221
153.940	274.000	73.463	3.929	0.218
154.140	274.000	79.680	3.937	0.222
154.340	274.000	85.751	3.925	0.205
154.540	274.000	90.177	3.922	0.232
154.739	274.000	89.630	3.904	0.198
154.839	274.000	86.106	3.942	0.246
155.039	274.000	80.023	3.944	0.230
155.239	274.000	73.857	3.945	0.216
155.439	274.000	67.958	3.926	0.221
155.640	274.000	61.246	3.923	0.224
155.840	274.000	55.886	3.947	0.234
156.040	274.000	49.473	3.934	0.211
156.240	274.000	43.250	3.948	0.212
156.440	274.000	37.287	3.923	0.206
156.640	274.000	31.445	3.935	0.230
156.840	274.000	25.235	3.942	0.225
157.040	274.000	19.323	3.954	0.217
157.240	274.000	12.776	3.945	0.204
157.440	274.000	6.782	3.933	0.208
157.640	274.000	1.054	3.918	0.224
157.840	274.000	1.359	3.959	0.236
158.040	274.000	7.296	3.935	0.209
158.240	274.000	13.748	3.952	0.205
158.440	274.000	19.825	3.916	0.220
158.640	274.000	25.679	3.959	0.243
158.840	274.000	32.049	3.941	0.235
159.040	274.000	37.992	3.966	0.211
159.240	274.000	43.777	3.924	0.206
159.340	274.000	47.263	3.939	0.226
159.540	274.000	53.004	3.945	0.222
159.740	274.000	59.550	3.937	0.229
159.940	274.000	65.392	3.955	0.216
160.140	274.000	71.577	3.944	0.229
160.340	274.000	77.756	3.925	0.195
160.540	274.000	83.534	3.935	0.243
160.740	274.000	89.942	3.926	0.229
160.940	274.000	90.094	3.945	0.241
161.140	274.000	88.087	3.940	0.209
161.340	274.000	81.515	3.931	0.224
161.540	274.000	75.222	3.928	0.214
161.740	274.000	69.507	3.931	0.247
161.940	274.000	63.037	3.945	0.224
162.140	274.000	57.093	3.957	0.224
162.340	274.000	50.603	3.916	0.194
162.540	274.000	44.844	3.926	0.232
162.740	274.000	38.894	3.917	0.219
162.840	274.000	35.230	3.985	0.263
163.040	274.000	29.375	3.961	0.230
163.240	274.000	23.425	3.928	0.191
163.440	274.000	17.164	3.944	0.221
163.640	274.000	11.138	3.907	0.222
163.840	274.000	5.347	3.972	0.254
164.040	274.000	0.864	3.936	0.196
164.239	274.000	2.508	3.956	0.209
164.340	274.000	6.198	3.939	0.238
164.540	274.000	12.109	3.941	0.211
164.740	274.000	18.345	3.928	0.230
164.940	274.000	24.365	3.940	0.224
165.140	274.000	30.518	3.958	0.208
165.340	274.000	36.786	3.950	0.221
165.540	274.000	42.767	3.930	0.210
165.740	274.000	48.940	3.946	0.226
165.940	274.000	54.826	3.960	0.228
166.140	274.000	61.068	3.946	0.226
166.340	274.000	67.170	3.942	0.199
166.540	274.000	72.993	3.938	0.225
166.740	274.000	79.356	3.961	0.234
166.940	274.000	85.414	3.952	0.234
167.140	274.000	90.145	3.968	0.213
167.340	274.000	89.288	3.962	0.233
167.540	274.000	83.026	3.953	0.196
167.740	274.000	76.994	3.955	0.233
167.940	274.000	71.050	3.953	0.224
168.140	274.000	64.980	3.989	0.244
168.240	274.000	61.316	3.944	0.183
168.440	274.000	55.817	3.947	0.196
168.640	274.000	49.467	3.947	0.231
168.840	274.000	43.447	3.946	0.222
169.040	274.000	37.408	3.970	0.242
169.240	274.000	30.893	3.963	0.203
169.440	274.000	24.803	3.965	0.225
169.640	274.000	18.853	3.933	0.215
169.840	274.000	12.770	3.947	0.239
170.040	274.000	6.591	3.947	0.226
170.240	274.000	0.984	3.968	0.231
170.440	274.000	1.365	3.938	0.193
170.640	274.000	7.703	3.953	0.229
170.840	274.000	13.735	3.927	0.211
171.040	274.000	19.596	3.981	0.252
171.240	274.000	25.787	3.934	0.198
171.440	274.000	31.979	3.964	0.209
171.640	274.000	38.164	3.916	0.207
171.840	274.000	44.412	3.953	0.237
172.040	274.000	50.216	3.936	0.233
172.240	274.000	56.115	3.970	0.221
172.340	274.000	59.595	3.941	0.213
172.540	274.000	65.469	3.934	0.221
172.740	274.000	71.901	3.950	0.219
172.940	274.000	77.673	3.930	0.228
173.140	274.000	83.979	3.953	0.223
173.340	274.000	89.872	3.953	0.225
173.540	274.000	90.094	3.950	0.199
173.740	274.000	86.576	3.936	0.222
173.940	274.000	81.134	3.943	0.217
174.140	274.000	74.873	3.951	0.239
174.340	274.000	68.129	3.959	0.216
174.540	274.000	62.452	3.931	0.199
174.740	274.000	56.541	3.936	0.207
174.940	274.000	49.778	3.923	0.232
175.140	274.000	44.444	3.948	0.239
175.340	274.000	38.068	3.936	0.238
175.540	274.000	31.706	3.952	0.210
175.740	274.000	25.889	3.923	0.205
175.940	274.000	20.009	3.902	0.206
176.140	274.000	13.754	3.926	0.245
176.340	274.000	7.677	3.944	0.250
176.540	274.000	1.308	3.939	0.205
176.740	274.000	1.746	3.931	0.213
176.839	274.000	5.124	3.906	0.194
177.040	274.000	11.290	3.922	0.232
177.240	274.000	17.209	3.917	0.223
177.440	274.000	23.546	3.935	0.229
177.640	274.000	29.534	3.914	0.203
177.840	274.000	35.471	3.915	0.222
178.040	274.000	41.847	3.903	0.211
178.240	274.000	48.089	3.917	0.236
178.440	274.000	53.886	3.925	0.229
178.640	274.000	59.785	3.938	0.220
178.740	274.000	63.081	3.875	0.201
178.940	274.000	69.406	3.879	0.209
179.140	274.000	75.070	3.924	0.232
179.340	274.000	81.369	3.897	0.221
179.540	274.000	87.306	3.937	0.236
179.740	274.000	89.821	3.896	0.204
179.940	274.000	84.804	3.932	0.235
180.140	274.000	78.658	3.875	0.217
180.340	274.000	72.593	3.916	0.231
180.540	274.000	66.332	3.904	0.234
587.540	258.990	64.643	3.898	0.229
587.740	258.990	58.331	3.878	0.210
587.940	258.990	52.330	3.883	0.227
588.140	258.990	46.317	3.861	0.212
588.340	258.990	40.030	3.869	0.219
588.540	258.990	34.379	3.849	0.214
588.740	258.990	25.826	3.855	0.220
588.940	258.990	19.482	3.852	0.236
589.140	258.990	14.040	3.842	0.229
589.340	258.990	8.261	3.861	0.245
589.540	258.990	2.578	3.871	0.243
589.740	258.990	0.870	3.893	0.246
589.940	258.990	0.959	3.869	0.225
590.040	258.990	2.731	3.883	0.227
590.240	258.990	8.598	3.868	0.216
590.440	258.990	14.078	3.883	0.211
590.640	258.990	19.590	3.864	0.228
590.840	258.990	25.667	3.859	0.210
591.040	258.990	31.382	3.852	0.219
591.140	258.990	36.487	3.844	0.231
591.340	258.990	41.834	3.867	0.229
591.540	258.990	47.701	3.854	0.225
591.741	258.990	53.397	3.875	0.229
591.940	258.990	58.731	3.857	0.225
592.040	258.990	63.907	3.860	0.241
592.240	258.990	69.456	3.871	0.223
592.440	258.990	75.203	3.864	0.216
592.640	258.990	80.963	3.854	0.216
592.840	258.990	86.652	3.825	0.207
593.040	258.990	90.100	3.817	0.211
593.140	258.990	90.069	3.837	0.240
593.340	258.990	89.827	3.810	0.210
593.540	258.990	85.109	3.831	0.244
593.740	258.990	79.210	3.796	0.229
593.940	258.990	73.597	3.789	0.238
594.140	258.990	67.793	3.786	0.244
594.340	258.990	61.938	3.787	0.230
594.540	258.990	55.740	3.800	0.243
594.740	258.990	49.727	3.815	0.237
594.940	258.990	44.094	3.818	0.224
