TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
319.921	0.000	-4.777	0.443
320.121	0.390	-4.741	0.496
320.321	1.575	-4.729	0.469
320.521	3.444	-4.751	0.453
320.621	4.601	-4.743	0.470
320.821	6.566	-4.735	0.456
321.021	8.702	-4.763	0.454
321.221	10.568	-4.708	0.476
321.321	11.674	-4.759	0.450
321.521	13.658	-4.763	0.457
321.721	15.661	-4.727	0.481
321.921	17.784	-4.757	0.450
322.121	19.902	-4.735	0.479
322.321	21.966	-4.729	0.456
322.521	23.944	-4.758	0.462
322.721	25.857	-4.734	0.494
322.921	27.879	-4.754	0.439
323.121	30.056	-4.726	0.502
323.321	31.949	-4.736	0.457
323.521	34.079	-4.744	0.434
323.721	36.089	-3.192	0.293
323.921	38.115	-1.542	0.075
324.121	40.094	-1.530	0.068
324.321	42.179	-1.534	0.007
324.521	44.162	-1.531	-0.015
324.621	45.310	-1.508	0.018
324.821	47.315	-1.490	-0.022
325.021	49.279	-1.490	-0.050
325.221	51.282	-1.444	-0.031
325.421	53.301	-1.429	-0.056
325.521	54.404	-1.432	-0.067
325.721	56.520	-1.397	-0.058
325.921	58.527	-1.378	-0.072
326.121	60.499	-1.396	-0.122
326.321	62.456	-1.328	-0.075
326.521	64.476	-1.341	-0.106
326.621	65.633	-1.329	-0.117
326.821	67.564	-1.310	-0.107
327.021	69.584	-1.310	-0.136
327.221	71.772	-1.270	-0.093
327.421	73.667	-1.299	-0.152
327.621	75.664	-1.251	-0.135
327.721	76.822	-1.256	-0.118
327.921	78.739	-1.252	-0.181
328.121	80.868	-1.226	-0.162
328.321	82.811	-1.200	-0.124
328.421	83.897	-1.202	-0.071
328.621	85.858	-1.212	-0.072
328.821	87.927	-1.196	-0.061
329.021	90.025	-1.167	-0.099
329.221	92.035	-1.174	-0.088
329.421	94.035	-1.153	-0.086
329.621	96.142	-1.144	-0.109
329.821	98.247	-1.148	-0.086
330.021	100.090	-1.102	-0.090
330.221	102.185	-1.152	-0.133
330.421	104.217	-1.093	-0.088
330.621	106.225	-1.098	-0.123
330.821	108.219	-1.097	-0.126
331.021	110.299	-1.061	-0.089
331.221	112.422	-1.071	-0.154
331.421	114.443	-1.068	-0.113
331.621	116.462	-1.041	-0.105
331.821	118.450	-1.046	-0.162
332.021	120.463	-1.032	-0.100
332.221	122.464	-1.007	-0.135
332.421	124.677	-1.008	-0.128
332.621	126.662	-1.012	-0.133
332.821	128.645	-0.993	-0.148
333.021	130.666	-1.009	-0.144
333.221	132.675	-0.971	-0.116
333.421	134.775	-0.970	-0.170
333.621	136.854	-0.952	-0.121
333.821	138.854	-0.931	-0.138
334.021	140.833	-0.951	-0.177
334.221	142.961	-0.918	-0.104
334.421	144.953	-0.911	-0.151
334.621	147.003	-0.924	-0.159
334.821	148.940	-0.911	-0.149
335.021	150.943	-0.871	-0.144
335.121	152.096	-0.900	-0.146
335.321	153.994	-0.913	-0.180
335.521	156.141	-0.843	-0.122
335.721	158.169	-0.894	-0.178
335.921	160.227	-0.838	-0.119
336.121	162.205	-0.849	-0.191
336.321	164.175	-0.845	-0.137
336.421	165.267	-0.831	-0.157
336.621	167.411	-0.829	-0.154
336.821	169.277	-0.847	-0.180
337.021	171.415	-0.810	-0.135
337.221	173.427	-0.774	-0.164
337.421	175.467	-0.815	-0.164
337.621	177.465	-0.772	-0.163
337.821	179.508	-0.774	-0.164
338.021	181.551	-0.768	-0.157
338.221	183.650	-0.736	-0.157
338.421	185.694	-0.742	-0.184
338.621	187.717	-0.734	-0.145
338.821	189.705	-0.706	-0.166
339.021	191.793	-0.742	-0.204
339.221	193.787	-0.671	-0.137
339.421	195.751	-0.696	-0.204
339.621	197.852	-0.684	-0.195
339.821	199.865	-0.691	-0.157
340.021	201.843	-0.638	-0.209
340.221	203.937	-0.679	-0.184
340.421	205.910	-0.619	-0.181
340.621	207.910	-0.636	-0.196
340.821	210.100	-0.635	-0.190
341.021	212.064	-0.593	-0.179
341.221	214.150	-0.601	-0.221
341.421	216.147	-0.630	-0.201
341.621	218.112	-0.545	-0.181
341.821	220.211	-0.592	-0.220
342.021	222.216	-0.548	-0.176
342.221	224.338	-0.559	-0.219
342.421	226.297	-0.531	-0.197
342.621	228.322	-0.554	-0.201
342.822	230.375	-0.491	-0.216
343.021	232.418	-0.527	-0.214
343.221	234.414	-0.499	-0.207
343.421	236.425	-0.484	-0.235
343.621	238.458	-0.488	-0.202
343.821	240.573	-0.461	-0.205
344.021	242.647	-0.442	-0.235
344.221	244.652	-0.467	-0.218
344.421	246.653	-0.415	-0.199
344.621	248.646	-0.441	-0.244
344.821	250.758	-0.409	-0.202
345.021	252.820	-0.390	-0.240
345.221	254.781	-0.400	-0.228
345.421	256.730	-0.402	-0.219
345.621	258.817	-0.339	-0.200
345.821	260.834	-0.399	-0.265
346.021	262.995	-0.333	-0.196
346.221	264.915	-0.344	-0.243
346.421	266.906	-0.310	-0.227
346.621	268.958	-0.319	-0.206
346.821	271.023	-0.306	-0.261
347.021	273.029	-0.308	-0.241
347.223	275.060	-0.296	-0.219
347.421	277.077	-0.258	-0.249
347.621	279.228	-0.262	-0.218
347.821	281.320	-0.257	-0.238
348.021	283.302	-0.235	-0.250
348.221	285.238	-0.244	-0.236
348.421	287.333	-0.194	-0.220
348.621	289.417	-0.207	-0.241
348.821	291.482	-0.194	-0.223
349.022	293.445	-0.184	-0.255
349.221	295.570	-0.160	-0.250
349.421	297.549	-0.178	-0.229
349.621	299.519	-0.128	-0.243
349.821	301.517	-0.154	-0.266
350.021	303.547	-0.168	-0.252
350.221	305.682	-0.101	-0.239
350.421	307.661	-0.119	-0.258
350.621	309.662	-0.102	-0.245
350.821	311.824	-0.061	-0.258
351.021	313.744	-0.115	-0.271
351.221	315.856	-0.068	-0.219
351.421	317.858	-0.052	-0.248
351.621	319.893	-0.079	-0.283
351.821	321.870	-0.072	-0.252
352.021	324.075	-0.009	-0.243
352.221	326.028	-0.056	-0.276
352.421	328.125	-0.033	-0.248
352.621	330.029	-0.016	-0.247
352.821	332.130	-0.027	-0.258
353.021	334.205	-0.038	-0.249
353.221	336.170	0.030	-0.261
353.421	338.293	-0.022	-0.268
353.621	340.157	0.014	-0.247
353.721	341.273	0.042	-0.248
353.921	343.293	-0.001	-0.282
354.121	345.336	0.014	-0.259
354.321	347.424	0.028	-0.258
354.521	349.442	0.026	-0.258
354.721	351.447	0.017	-0.264
354.921	353.412	0.089	-0.241
355.121	355.514	0.023	-0.297
355.321	357.488	0.038	-0.244
355.521	359.647	0.087	-0.261
355.721	361.526	0.063	-0.267
355.921	363.645	0.054	-0.267
356.121	365.672	0.099	-0.253
356.321	367.655	0.050	-0.285
356.521	369.828	0.116	-0.240
356.721	371.805	0.096	-0.262
356.921	373.765	0.077	-0.294
357.121	375.762	0.097	-0.253
357.321	377.946	0.123	-0.257
357.521	379.889	0.110	-0.292
357.721	381.962	0.126	-0.227
357.921	383.963	0.142	-0.285
358.121	385.946	0.129	-0.282
358.321	388.072	0.149	-0.261
358.521	389.943	0.190	-0.262
358.721	391.126	0.175	-0.277
358.921	391.507	0.180	-0.263
621.521	11.674	-4.782	0.406
621.721	11.727	-4.794	0.404
621.921	12.444	-4.773	0.372
622.121	13.816	-4.768	0.404
622.221	14.906	-4.767	0.357
622.421	16.934	-4.796	0.358
622.621	18.976	-4.803	0.387
622.821	20.996	-4.800	0.398
623.021	23.008	-4.777	0.399
623.221	24.966	-4.787	0.380
623.321	26.116	-4.782	0.384
623.521	28.118	-4.788	0.370
623.721	30.105	-4.789	0.371
623.921	32.084	-4.807	0.361
624.122	34.288	-4.799	0.394
624.322	36.249	-3.042	0.243
624.521	38.332	-1.551	0.081
624.721	40.342	-1.560	0.038
624.921	42.353	-1.538	0.075
625.121	44.292	-1.569	0.001
625.221	45.410	-1.526	0.035
625.421	47.474	-1.511	0.036
625.621	49.499	-1.491	-0.011
625.821	51.484	-1.421	0.006
626.021	53.497	-1.448	-0.042
626.221	55.535	-1.398	-0.030
626.421	57.514	-1.429	-0.074
626.621	59.717	-1.368	-0.043
626.821	61.705	-1.343	-0.056
627.021	63.712	-1.331	-0.081
627.221	65.716	-1.304	-0.091
627.421	67.817	-1.293	-0.106
627.621	69.879	-1.312	-0.117
627.821	71.840	-1.283	-0.112
628.021	73.977	-1.279	-0.118
628.221	75.893	-1.238	-0.127
628.421	77.892	-1.240	-0.143
628.521	79.040	-1.230	-0.152
628.721	80.947	-1.228	-0.151
628.921	83.067	-1.210	-0.139
629.121	84.994	-1.222	-0.068
629.322	87.057	-1.193	-0.047
629.521	89.057	-1.148	-0.068
629.721	91.096	-1.176	-0.100
629.921	93.142	-1.143	-0.098
630.122	95.287	-1.173	-0.096
630.321	97.379	-1.155	-0.121
630.521	99.358	-1.141	-0.066
630.721	101.303	-1.113	-0.103
630.921	103.370	-1.096	-0.103
631.121	105.328	-1.099	-0.147
631.321	107.545	-1.102	-0.126
631.521	109.532	-1.103	-0.135
631.721	111.483	-1.081	-0.093
631.921	113.577	-1.064	-0.096
632.121	115.547	-1.033	-0.111
632.321	117.725	-1.009	-0.130
632.521	119.644	-1.037	-0.149
632.721	121.652	-1.019	-0.145
632.921	123.786	-1.022	-0.125
633.121	125.765	-1.017	-0.148
633.321	127.778	-0.991	-0.105
633.521	129.846	-0.987	-0.129
633.721	131.869	-0.962	-0.125
633.921	133.874	-0.965	-0.159
634.121	135.906	-0.974	-0.159
634.321	137.951	-0.970	-0.140
634.521	139.948	-0.965	-0.127
634.721	141.955	-0.929	-0.105
634.921	144.045	-0.924	-0.149
635.021	145.164	-0.870	-0.114
635.221	147.050	-0.905	-0.148
635.421	149.184	-0.901	-0.162
635.621	151.187	-0.923	-0.161
635.821	153.212	-0.916	-0.155
636.021	155.191	-0.882	-0.118
636.221	157.208	-0.853	-0.124
636.421	159.265	-0.857	-0.154
636.621	161.418	-0.833	-0.150
636.821	163.402	-0.870	-0.174
637.021	165.406	-0.838	-0.167
637.221	167.401	-0.854	-0.143
637.421	169.519	-0.827	-0.133
637.621	171.519	-0.804	-0.141
637.822	173.480	-0.764	-0.133
638.022	175.582	-0.800	-0.193
638.221	177.574	-0.757	-0.167
638.321	178.726	-0.824	-0.210
638.521	180.603	-0.799	-0.181
638.621	181.715	-0.778	-0.158
638.821	183.680	-0.760	-0.138
638.921	184.768	-0.719	-0.170
639.121	186.719	-0.718	-0.154
639.321	188.783	-0.721	-0.190
639.521	190.775	-0.706	-0.195
639.621	191.913	-0.715	-0.216
639.821	193.927	-0.722	-0.204
640.021	195.915	-0.714	-0.186
640.221	197.939	-0.704	-0.162
640.421	199.999	-0.663	-0.176
640.621	202.002	-0.629	-0.157
640.821	204.115	-0.661	-0.242
641.021	206.120	-0.631	-0.193
641.221	208.098	-0.651	-0.217
641.421	210.214	-0.653	-0.207
641.621	212.200	-0.628	-0.190
641.821	214.352	-0.607	-0.184
642.021	216.226	-0.563	-0.202
642.221	218.374	-0.560	-0.215
642.421	220.396	-0.574	-0.251
