TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
1.665	135.762	-4.983	-0.471
3.329	135.762	-4.961	-0.459
4.993	135.762	-4.971	-0.453
6.659	135.762	-4.966	-0.442
8.321	135.762	-4.979	-0.468
9.987	135.762	-4.990	-0.475
11.647	135.762	-4.984	-0.468
13.309	135.762	-4.977	-0.473
14.974	135.762	-4.968	-0.457
16.637	135.762	-4.980	-0.475
18.303	135.762	-4.973	-0.449
19.967	135.762	-4.974	-0.453
21.635	135.762	-4.983	-0.453
23.301	135.762	-4.994	-0.474
24.966	135.762	-4.988	-0.482
26.635	135.762	-4.976	-0.464
28.302	135.762	-4.972	-0.473
29.964	135.762	-4.978	-0.457
31.627	135.762	-4.982	-0.461
33.289	135.762	-4.989	-0.450
34.950	135.762	-4.982	-0.447
36.611	135.762	-4.993	-0.468
38.272	135.762	-4.993	-0.467
39.936	135.762	-4.992	-0.479
41.597	135.762	-4.969	-0.456
43.261	135.762	-4.981	-0.470
44.924	135.762	-4.978	-0.464
46.589	135.762	-4.978	-0.452
48.251	135.762	-4.979	-0.450
49.913	135.762	-4.975	-0.448
51.573	135.762	-4.989	-0.477
53.237	135.762	-4.993	-0.467
54.901	135.762	-4.985	-0.466
56.564	135.762	-4.974	-0.463
58.229	135.762	-4.969	-0.465
59.895	135.762	-4.988	-0.467
61.561	135.762	-4.976	-0.452
63.229	135.762	-4.987	-0.461
64.894	135.762	-4.989	-0.459
66.560	135.762	-4.983	-0.475
68.225	135.762	-5.000	-0.473
69.888	135.762	-4.960	-0.462
71.548	135.762	-4.990	-0.468
73.212	135.762	-4.976	-0.455
74.881	135.762	-5.001	-0.455
76.548	135.762	-4.972	-0.446
78.217	135.762	-4.981	-0.456
79.880	135.762	-4.998	-0.477
81.548	135.762	-5.003	-0.469
83.213	135.762	-4.994	-0.478
