TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
22.753	135.762	2.589	-0.205
24.417	135.762	2.604	-0.208
26.081	135.762	2.590	-0.221
27.745	135.762	2.604	-0.213
29.409	135.762	2.592	-0.202
31.075	135.762	2.597	-0.196
32.743	135.762	2.588	-0.212
34.409	135.762	2.560	-0.200
36.074	135.762	2.559	-0.203
37.739	135.762	2.549	-0.210
39.404	135.762	2.555	-0.219
41.066	135.762	2.543	-0.220
42.729	135.762	2.567	-0.213
44.391	135.762	2.564	-0.235
46.052	135.762	2.567	-0.221
47.713	135.762	2.567	-0.221
49.375	135.762	2.556	-0.207
51.038	135.762	2.567	-0.215
52.701	135.762	2.547	-0.212
54.367	135.762	2.557	-0.214
56.029	135.762	2.550	-0.219
57.691	135.762	2.541	-0.226
59.357	135.762	2.535	-0.239
61.022	135.762	2.546	-0.226
62.683	135.762	2.558	-0.234
64.345	135.762	2.556	-0.240
66.008	135.762	2.567	-0.224
67.670	135.762	2.562	-0.222
69.337	135.762	2.564	-0.217
71.001	135.762	2.543	-0.230
72.667	135.762	2.550	-0.220
74.335	135.762	2.554	-0.224
76.004	135.762	2.535	-0.249
77.677	135.762	2.552	-0.236
79.345	135.762	2.536	-0.247
81.007	135.762	2.565	-0.237
82.669	135.762	2.547	-0.253
84.334	135.762	2.558	-0.231
85.997	135.762	2.554	-0.227
87.659	135.762	2.556	-0.226
89.325	135.762	2.543	-0.236
90.988	135.762	2.531	-0.238
92.651	135.762	2.554	-0.225
94.317	135.762	2.532	-0.254
95.980	135.762	2.546	-0.246
97.643	135.762	2.538	-0.259
99.304	135.762	2.557	-0.241
100.962	135.762	2.552	-0.243
102.624	135.762	2.544	-0.243
104.285	135.762	2.554	-0.224
105.946	135.762	2.549	-0.228
107.608	135.762	2.546	-0.231
109.272	135.762	2.529	-0.242
110.936	135.762	2.540	-0.225
112.600	135.762	2.535	-0.253
114.264	135.762	2.529	-0.256
115.928	135.762	2.541	-0.258
117.592	135.762	2.548	-0.249
119.256	135.762	2.556	-0.250
120.919	135.762	2.541	-0.255
122.582	135.762	2.536	-0.233
124.245	135.762	2.548	-0.240
125.908	135.762	2.530	-0.241
127.574	135.762	2.526	-0.250
