TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
0.335	73.996	89.821	-4.986	0.194
1.996	73.996	89.821	-4.981	0.212
3.661	73.996	89.821	-4.983	0.196
5.324	73.996	89.821	-4.976	0.209
6.989	73.996	89.821	-4.975	0.196
8.658	73.996	89.821	-4.969	0.230
10.327	73.996	89.821	-4.966	0.223
11.995	73.996	89.821	-4.978	0.219
13.662	73.996	89.821	-4.980	0.215
15.327	73.996	89.821	-4.982	0.208
16.988	73.996	89.821	-4.972	0.218
18.648	73.996	89.821	-4.967	0.197
20.309	73.996	89.821	-4.975	0.195
21.969	73.996	89.821	-4.971	0.213
23.630	73.996	89.821	-4.971	0.215
25.291	73.996	89.821	-4.966	0.220
26.951	73.996	89.821	-4.991	0.210
28.615	73.996	89.821	-4.990	0.209

