TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
5.645	73.996	89.821	1.894	0.375
7.306	73.996	89.821	1.882	0.361
8.966	73.996	89.821	1.902	0.374
10.625	73.996	89.821	1.894	0.366
12.287	73.996	89.821	1.894	0.367
13.950	73.996	89.821	1.906	0.374
15.614	73.996	89.821	1.910	0.377
17.281	73.996	89.821	1.906	0.372
18.946	73.996	89.821	1.900	0.369
20.610	73.996	89.821	1.904	0.379
22.271	73.996	89.821	1.892	0.359
23.934	73.996	89.821	1.895	0.363
25.596	73.996	89.821	1.893	0.358
27.257	73.996	89.821	1.920	0.377
28.922	73.996	89.821	1.897	0.360
30.588	73.996	89.821	1.905	0.376
32.253	73.996	89.821	1.920	0.382
33.918	73.996	89.821	1.908	0.378
35.583	73.996	89.821	1.907	0.367
37.247	73.996	89.821	1.906	0.377
38.910	73.996	89.821	1.918	0.374
40.576	73.996	89.821	1.909	0.365
42.239	73.996	89.821	1.901	0.369
43.904	73.996	89.821	1.910	0.379
45.567	73.996	89.821	1.920	0.378
47.234	73.996	89.821	1.892	0.354
48.898	73.996	89.821	1.915	0.383
50.563	73.996	89.821	1.920	0.373
