TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
79.908	0.000	-2.394	-1.100
81.465	0.000	-2.144	-1.208
83.021	0.000	-2.114	-1.215
84.574	0.000	-2.116	-1.214
86.128	0.000	-2.126	-1.210
87.685	0.000	-2.131	-1.194
89.239	0.000	-2.144	-1.186
90.797	0.000	-2.133	-1.174
92.354	0.000	-2.145	-1.180
93.904	0.000	-2.146	-1.168
95.448	0.000	-2.153	-1.153
96.990	0.000	-2.157	-1.151
98.536	0.000	-2.154	-1.149
100.083	0.000	-2.149	-1.141
101.637	0.000	-2.161	-1.157
103.186	0.000	-2.150	-1.150
104.738	0.000	-2.162	-1.152
106.284	0.000	-2.155	-1.148
107.836	0.000	-2.151	-1.148
109.387	0.000	-2.143	-1.149
110.936	0.000	-2.151	-1.155
112.483	0.000	-2.147	-1.146
114.033	0.000	-2.162	-1.164
115.581	0.000	-2.133	-1.142
117.134	0.000	-2.129	-1.151
118.686	0.000	-2.122	-1.133
120.239	0.000	-2.134	-1.153
121.791	0.000	-2.130	-1.151
123.341	0.000	-2.130	-1.169
124.895	0.000	-2.130	-1.176
126.453	0.000	-2.116	-1.168
128.009	0.000	-2.099	-1.153
129.562	0.000	-2.106	-1.149
131.114	0.000	-2.112	-1.143
132.668	0.000	-2.078	-1.105
134.218	0.000	-2.110	-1.148
135.770	0.000	-2.109	-1.145
137.328	0.000	-2.085	-1.136
138.882	0.000	-2.090	-1.139
140.429	0.000	-2.075	-1.102
141.978	0.000	-2.097	-1.123
143.528	0.000	-2.093	-1.124
145.076	0.000	-2.073	-1.049	
