TimeSec	Probe2mm	Mixermm	ConductivityP2V	TemperatureP2V
8.505	0.000	89.669	-0.502	0.314
10.057	0.000	89.669	-0.512	0.308
11.611	0.000	89.669	-0.518	0.306
13.165	0.000	89.669	-0.518	0.309
14.721	0.000	89.669	-0.524	0.307
16.274	0.000	89.669	-0.519	0.306
17.821	0.000	89.669	-0.524	0.298
19.368	0.000	89.669	-0.524	0.297
20.919	0.000	89.669	-0.524	0.292
22.468	0.000	89.669	-0.524	0.293
24.019	0.000	89.669	-0.533	0.289
25.573	0.000	89.669	-0.533	0.290
27.124	0.000	89.669	-0.543	0.288
28.678	0.000	89.669	-0.543	0.287
30.230	0.000	89.669	-0.545	0.294
31.784	0.000	89.669	-0.545	0.294
33.338	0.000	89.669	-0.547	0.298
34.890	0.000	89.669	-0.547	0.297
36.440	0.000	89.669	-0.551	0.294
37.986	0.000	89.669	-0.555	0.295
39.539	0.000	89.669	-0.557	0.299
41.092	0.000	89.669	-0.560	0.297
42.644	0.000	89.669	-0.554	0.302
44.192	0.000	89.669	-0.561	0.298
45.740	0.000	89.669	-0.558	0.301
47.295	0.000	89.669	-0.563	0.304
48.846	0.000	89.669	-0.563	0.303
50.397	0.000	89.669	-0.564	0.300
51.945	0.000	89.669	-0.561	0.306
53.495	0.000	89.669	-0.568	0.303
55.040	0.000	89.669	-0.562	0.312
56.586	0.000	89.669	-0.564	0.303
58.130	0.000	89.669	-0.565	0.302
59.677	0.000	89.669	-0.567	0.294
